2025-06-13 20:54:45,087 - Custom dataset creation started
Epoch 3, Batch 350: Loss 0.0030
Epoch 3, Batch 400: Loss 0.0031
Epoch 3, Batch 450: Loss 0.0032
Epoch 3, Batch 500: Loss 0.0028
Epoch 3, Batch 550: Loss 0.0032
Epoch 3, Batch 600: Loss 0.0031
Epoch 3, Batch 650: Loss 0.0031
Epoch 3, Batch 700: Loss 0.0029
Epoch 3, Batch 750: Loss 0.0034
Epoch 3, Batch 800: Loss 0.0032
Epoch 3, Batch 850: Loss 0.0031
Epoch 3, Batch 900: Loss 0.0031
Epoch 3, Batch 950: Loss 0.0030
Epoch 3, Batch 1000: Loss 0.0031
Epoch 3, Batch 1050: Loss 0.0030
Epoch 3, Batch 1100: Loss 0.0030
Epoch 3, Batch 1150: Loss 0.0034
Epoch 3, Batch 1200: Loss 0.0030
Epoch 3, Batch 1250: Loss 0.0030
Epoch 3, Batch 1300: Loss 0.0028
Epoch 3, Batch 1350: Loss 0.0033
Epoch 3, Batch 1400: Loss 0.0029
Epoch 3, Batch 1450: Loss 0.0029
Epoch 3, Batch 1500: Loss 0.0032
Epoch 3, Batch 1550: Loss 0.0028
Epoch 3, Batch 1600: Loss 0.0030
Epoch 3, Batch 1650: Loss 0.0029
Epoch 3, Batch 1700: Loss 0.0032
Epoch 3, Batch 1750: Loss 0.0029
Epoch 3, Batch 1800: Loss 0.0031
Epoch 3, Batch 1850: Loss 0.0030
Epoch 3, Batch 1900: Loss 0.0030
Epoch 3, Batch 1950: Loss 0.0028
Epoch 3, Batch 2000: Loss 0.0029
Model saved: model_epoch_3.pth
Epoch 3 completed
Epoch 4, Batch 50: Loss 0.0030
Epoch 4, Batch 100: Loss 0.0030
Epoch 4, Batch 150: Loss 0.0029
Epoch 4, Batch 200: Loss 0.0029
Epoch 4, Batch 250: Loss 0.0031
Epoch 4, Batch 300: Loss 0.0033
Epoch 4, Batch 350: Loss 0.0030
Epoch 4, Batch 400: Loss 0.0028
Epoch 4, Batch 450: Loss 0.0027
Epoch 4, Batch 500: Loss 0.0033
Epoch 4, Batch 550: Loss 0.0027
Epoch 4, Batch 600: Loss 0.0029
Epoch 4, Batch 650: Loss 0.0028
Epoch 4, Batch 700: Loss 0.0030
Epoch 4, Batch 750: Loss 0.0029
Epoch 4, Batch 800: Loss 0.0030
Epoch 4, Batch 850: Loss 0.0029
Epoch 4, Batch 900: Loss 0.0027
Epoch 4, Batch 950: Loss 0.0031
Epoch 4, Batch 1000: Loss 0.0028
Epoch 4, Batch 1050: Loss 0.0029
Epoch 4, Batch 1100: Loss 0.0029
Epoch 4, Batch 1150: Loss 0.0028
Epoch 4, Batch 1200: Loss 0.0029
Epoch 4, Batch 1250: Loss 0.0029
Epoch 4, Batch 1300: Loss 0.0029
Epoch 4, Batch 1350: Loss 0.0028
Epoch 4, Batch 1400: Loss 0.0028
Epoch 4, Batch 1450: Loss 0.0029
Epoch 4, Batch 1500: Loss 0.0029
Epoch 4, Batch 1550: Loss 0.0028
Epoch 4, Batch 1600: Loss 0.0030
Epoch 4, Batch 1650: Loss 0.0029
Epoch 4, Batch 1700: Loss 0.0028
Epoch 4, Batch 1750: Loss 0.0028
Epoch 4, Batch 1800: Loss 0.0027
Epoch 4, Batch 1850: Loss 0.0029
Epoch 4, Batch 1900: Loss 0.0028
Epoch 4, Batch 1950: Loss 0.0029
Epoch 4, Batch 2000: Loss 0.0027
Model saved: model_epoch_4.pth
Epoch 4 completed
Epoch 5, Batch 50: Loss 0.0028
Epoch 5, Batch 100: Loss 0.0027
Epoch 5, Batch 150: Loss 0.0029
Epoch 5, Batch 200: Loss 0.0029
Epoch 5, Batch 250: Loss 0.0027
Epoch 5, Batch 300: Loss 0.0028
Epoch 5, Batch 350: Loss 0.0027
Epoch 5, Batch 400: Loss 0.0028
Epoch 5, Batch 450: Loss 0.0027
Epoch 5, Batch 500: Loss 0.0026
Epoch 5, Batch 550: Loss 0.0028
Epoch 5, Batch 600: Loss 0.0029
Epoch 5, Batch 650: Loss 0.0028
Epoch 5, Batch 700: Loss 0.0028
Epoch 5, Batch 750: Loss 0.0028
Epoch 5, Batch 800: Loss 0.0027
Epoch 5, Batch 850: Loss 0.0029
Epoch 5, Batch 900: Loss 0.0027
Epoch 5, Batch 950: Loss 0.0028
Epoch 5, Batch 1000: Loss 0.0026
Epoch 5, Batch 1050: Loss 0.0026
Epoch 5, Batch 1100: Loss 0.0026
Epoch 5, Batch 1150: Loss 0.0028
Epoch 5, Batch 1200: Loss 0.0027
Epoch 5, Batch 1250: Loss 0.0026
Epoch 5, Batch 1300: Loss 0.0027
Epoch 5, Batch 1350: Loss 0.0026
Epoch 5, Batch 1400: Loss 0.0027
Epoch 5, Batch 1450: Loss 0.0027
Epoch 5, Batch 1500: Loss 0.0027
Epoch 5, Batch 1550: Loss 0.0039
Epoch 5, Batch 1600: Loss 0.0037
Epoch 5, Batch 1650: Loss 0.0027
Epoch 5, Batch 1700: Loss 0.0026
Epoch 5, Batch 1750: Loss 0.0026
Epoch 5, Batch 1800: Loss 0.0026
Epoch 5, Batch 1850: Loss 0.0026
Epoch 5, Batch 1900: Loss 0.0026
Epoch 5, Batch 1950: Loss 0.0026
Epoch 5, Batch 2000: Loss 0.0026
Model saved: model_epoch_5.pth
Epoch 5 completed
Epoch 6, Batch 50: Loss 0.0027
Epoch 6, Batch 100: Loss 0.0026
Epoch 6, Batch 150: Loss 0.0026
Epoch 6, Batch 200: Loss 0.0026
Epoch 6, Batch 250: Loss 0.0027
Epoch 6, Batch 300: Loss 0.0026
Epoch 6, Batch 350: Loss 0.0027
Epoch 6, Batch 400: Loss 0.0027
Epoch 6, Batch 450: Loss 0.0026
Epoch 6, Batch 500: Loss 0.0027
Epoch 6, Batch 550: Loss 0.0027
Epoch 6, Batch 600: Loss 0.0028
Epoch 6, Batch 650: Loss 0.0027
Epoch 6, Batch 700: Loss 0.0027
Epoch 6, Batch 750: Loss 0.0027
Epoch 6, Batch 800: Loss 0.0027
Epoch 6, Batch 850: Loss 0.0027
Epoch 6, Batch 900: Loss 0.0027
Epoch 6, Batch 950: Loss 0.0026
Epoch 6, Batch 1000: Loss 0.0027
Epoch 6, Batch 1050: Loss 0.0027
Epoch 6, Batch 1100: Loss 0.0026
Epoch 6, Batch 1150: Loss 0.0026
Epoch 6, Batch 1200: Loss 0.0026
Epoch 6, Batch 1250: Loss 0.0026
Epoch 6, Batch 1300: Loss 0.0026
Epoch 6, Batch 1350: Loss 0.0026
Epoch 6, Batch 1400: Loss 0.0026
Epoch 6, Batch 1450: Loss 0.0026
Epoch 6, Batch 1500: Loss 0.0026
Epoch 6, Batch 1550: Loss 0.0026
Epoch 6, Batch 1600: Loss 0.0026
Epoch 6, Batch 1650: Loss 0.0026
Epoch 6, Batch 1700: Loss 0.0026
Epoch 6, Batch 1750: Loss 0.0026
Epoch 6, Batch 1800: Loss 0.0026
Epoch 6, Batch 1850: Loss 0.0026
Epoch 6, Batch 1900: Loss 0.0026
Epoch 6, Batch 1950: Loss 0.0026
Epoch 6, Batch 2000: Loss 0.0025
Model saved: model_epoch_6.pth
Epoch 6 completed
Epoch 7, Batch 50: Loss 0.0027
Epoch 7, Batch 100: Loss 0.0025
Epoch 7, Batch 150: Loss 0.0026
Epoch 7, Batch 200: Loss 0.0027
Epoch 7, Batch 250: Loss 0.0026
Epoch 7, Batch 300: Loss 0.0026
Epoch 7, Batch 350: Loss 0.0026
Epoch 7, Batch 400: Loss 0.0026
Epoch 7, Batch 450: Loss 0.0026
Epoch 7, Batch 500: Loss 0.0025
Epoch 7, Batch 550: Loss 0.0026
Epoch 7, Batch 600: Loss 0.0026
Epoch 7, Batch 650: Loss 0.0026
Epoch 7, Batch 700: Loss 0.0026
Epoch 7, Batch 750: Loss 0.0026
Epoch 7, Batch 800: Loss 0.0026
Epoch 7, Batch 850: Loss 0.0026
Epoch 7, Batch 900: Loss 0.0026
Epoch 7, Batch 950: Loss 0.0025
Epoch 7, Batch 1000: Loss 0.0026
Epoch 7, Batch 1050: Loss 0.0026
Epoch 7, Batch 1100: Loss 0.0026
Epoch 7, Batch 1150: Loss 0.0025
Epoch 7, Batch 1200: Loss 0.0026
Epoch 7, Batch 1250: Loss 0.0026
Epoch 7, Batch 1300: Loss 0.0025
Epoch 7, Batch 1350: Loss 0.0026
Epoch 7, Batch 1400: Loss 0.0025
Epoch 7, Batch 1450: Loss 0.0026
Epoch 7, Batch 1500: Loss 0.0026
Epoch 7, Batch 1550: Loss 0.0026
Epoch 7, Batch 1600: Loss 0.0026
Epoch 7, Batch 1650: Loss 0.0026
Epoch 7, Batch 1700: Loss 0.0049
Epoch 7, Batch 1750: Loss 0.0026
Epoch 7, Batch 1800: Loss 0.0025
Epoch 7, Batch 1850: Loss 0.0025
Epoch 7, Batch 1900: Loss 0.0025
Epoch 7, Batch 1950: Loss 0.0025
Epoch 7, Batch 2000: Loss 0.0025
Model saved: model_epoch_7.pth
Epoch 7 completed
Epoch 8, Batch 50: Loss 0.0025
Epoch 8, Batch 100: Loss 0.0026
Epoch 8, Batch 150: Loss 0.0025
Epoch 8, Batch 200: Loss 0.0025
Epoch 8, Batch 250: Loss 0.0025
Epoch 8, Batch 300: Loss 0.0025
Epoch 8, Batch 350: Loss 0.0025
Epoch 8, Batch 400: Loss 0.0025
Epoch 8, Batch 450: Loss 0.0026
Epoch 8, Batch 500: Loss 0.0026
Epoch 8, Batch 550: Loss 0.0025
Epoch 8, Batch 600: Loss 0.0025
Epoch 8, Batch 650: Loss 0.0025
Epoch 8, Batch 700: Loss 0.0025
Epoch 8, Batch 750: Loss 0.0025
Epoch 8, Batch 800: Loss 0.0026
Epoch 8, Batch 850: Loss 0.0026
Epoch 8, Batch 900: Loss 0.0026
Epoch 8, Batch 950: Loss 0.0025
Epoch 8, Batch 1000: Loss 0.0026
Epoch 8, Batch 1050: Loss 0.0025
Epoch 8, Batch 1100: Loss 0.0025
Epoch 8, Batch 1150: Loss 0.0025
Epoch 8, Batch 1200: Loss 0.0026
Epoch 8, Batch 1250: Loss 0.0025
Epoch 8, Batch 1300: Loss 0.0025
Epoch 8, Batch 1350: Loss 0.0025
Epoch 8, Batch 1400: Loss 0.0025
Epoch 8, Batch 1450: Loss 0.0026
Epoch 8, Batch 1500: Loss 0.0025
Epoch 8, Batch 1550: Loss 0.0025
Epoch 8, Batch 1600: Loss 0.0025
Epoch 8, Batch 1650: Loss 0.0025
Epoch 8, Batch 1700: Loss 0.0025
Epoch 8, Batch 1750: Loss 0.0025
Epoch 8, Batch 1800: Loss 0.0026
Epoch 8, Batch 1850: Loss 0.0026
Epoch 8, Batch 1900: Loss 0.0025
Epoch 8, Batch 1950: Loss 0.0025
Epoch 8, Batch 2000: Loss 0.0025
Model saved: model_epoch_8.pth
Epoch 8 completed
Epoch 9, Batch 50: Loss 0.0025
Epoch 9, Batch 100: Loss 0.0026
Epoch 9, Batch 150: Loss 0.0026
Epoch 9, Batch 200: Loss 0.0025
Epoch 9, Batch 250: Loss 0.0025
Epoch 9, Batch 300: Loss 0.0026
Epoch 9, Batch 350: Loss 0.0025
Epoch 9, Batch 400: Loss 0.0025
Epoch 9, Batch 450: Loss 0.0026
Epoch 9, Batch 500: Loss 0.0025
Epoch 9, Batch 550: Loss 0.0025
Epoch 9, Batch 600: Loss 0.0025
Epoch 9, Batch 650: Loss 0.0025
Epoch 9, Batch 700: Loss 0.0025
Epoch 9, Batch 750: Loss 0.0025
Epoch 9, Batch 800: Loss 0.0025
Epoch 9, Batch 850: Loss 0.0026
Epoch 9, Batch 900: Loss 0.0025
Epoch 9, Batch 950: Loss 0.0025
Epoch 9, Batch 1000: Loss 0.0025
Epoch 9, Batch 1050: Loss 0.0025
Epoch 9, Batch 1100: Loss 0.0025
Epoch 9, Batch 1150: Loss 0.0025
Epoch 9, Batch 1200: Loss 0.0025
Epoch 9, Batch 1250: Loss 0.0025
Epoch 9, Batch 1300: Loss 0.0026
Epoch 9, Batch 1350: Loss 0.0026
Epoch 9, Batch 1400: Loss 0.0026
Epoch 9, Batch 1450: Loss 0.0026
Epoch 9, Batch 1500: Loss 0.0025
Epoch 9, Batch 1550: Loss 0.0025
Epoch 9, Batch 1600: Loss 0.0025
Epoch 9, Batch 1650: Loss 0.0026
Epoch 9, Batch 1700: Loss 0.0026
Epoch 9, Batch 1750: Loss 0.0025
Epoch 9, Batch 1800: Loss 0.0025
Epoch 9, Batch 1850: Loss 0.0026
Epoch 9, Batch 1900: Loss 0.0025
Epoch 9, Batch 1950: Loss 0.0026
Epoch 9, Batch 2000: Loss 0.0026
Model saved: model_epoch_9.pth
Epoch 9 completed
Epoch 10, Batch 50: Loss 0.0025
Epoch 10, Batch 100: Loss 0.0025
Epoch 10, Batch 150: Loss 0.0025
Epoch 10, Batch 200: Loss 0.0026
Epoch 10, Batch 250: Loss 0.0026
Epoch 10, Batch 300: Loss 0.0025
Epoch 10, Batch 350: Loss 0.0025
Epoch 10, Batch 400: Loss 0.0025
Epoch 10, Batch 450: Loss 0.0026
Epoch 10, Batch 500: Loss 0.0025
Epoch 10, Batch 550: Loss 0.0026
Epoch 10, Batch 600: Loss 0.0025
Epoch 10, Batch 650: Loss 0.0026
Epoch 10, Batch 700: Loss 0.0025
Epoch 10, Batch 900: Loss 0.0026
Epoch 10, Batch 950: Loss 0.0025
Epoch 10, Batch 1000: Loss 0.0025
Epoch 10, Batch 1050: Loss 0.0025
Epoch 10, Batch 1100: Loss 0.0025
Epoch 10, Batch 1150: Loss 0.0025
Epoch 10, Batch 1200: Loss 0.0026
Epoch 10, Batch 1250: Loss 0.0026
Epoch 10, Batch 1300: Loss 0.0026
Epoch 10, Batch 1350: Loss 0.0025
Epoch 10, Batch 1400: Loss 0.0025
Epoch 10, Batch 1450: Loss 0.0025
Epoch 10, Batch 1500: Loss 0.0025
Epoch 10, Batch 1550: Loss 0.0025
Epoch 10, Batch 1600: Loss 0.0025
Epoch 10, Batch 1650: Loss 0.0025
Epoch 10, Batch 1700: Loss 0.0025
Epoch 10, Batch 1750: Loss 0.0025
Epoch 10, Batch 1800: Loss 0.0026
Epoch 10, Batch 1850: Loss 0.0025
Epoch 10, Batch 1900: Loss 0.0025
Epoch 10, Batch 1950: Loss 0.0026
Epoch 10, Batch 2000: Loss 0.0026
Model saved: model_epoch_10.pth
Epoch 10 completed
2025-06-13 21:18:14,047 - Training completed
